product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
2f4b2e1a-d20c-4d0c-b958-e334bd92f7f4,furniture,59,356,2,1095,90,46,15
5eb897a7-d092-4301-852f-a247fa759a62,home_appliances,48,134,5,3288,26,10,47
3dd30c4d-c00f-47ad-9994-40722db7c39d,home_appliances,46,279,2,1382,79,28,77
7952b8d8-9354-4fc4-b5fc-68672aff96f7,office,37,268,3,4247,47,26,24
7bfe3120-c87a-4bb8-aa6d-21cf64318a7d,fashion,24,244,2,3555,81,28,21
d16983cf-4985-4ff8-8f64-6d2eb9bcdbdb,fashion,20,370,5,1312,68,28,96
85095470-245d-492f-b748-9962553c2bb2,home_appliances,57,490,3,1187,96,19,70
1cf27a16-114c-45cd-b908-018c049149c1,electronics,59,674,3,2113,92,9,91
aca78d96-668b-4fa7-bc9d-6835e9dfa8f4,fashion,39,764,4,1255,27,7,14
b3e428f5-5e34-4c14-9588-d0b59cc28136,home_appliances,51,218,1,2223,78,13,59
5739bbc7-fd91-40cd-92a1-7a87559c9d3d,fashion,43,786,5,3733,85,14,63
c845b660-a038-44b7-942a-310d9561c3b6,electronics,51,730,4,2591,14,49,57
74da6965-7d65-4e28-a04b-72d365162eec,furniture,48,555,2,3271,22,48,57
25f8775c-4d0d-4853-b042-1539e70bc531,office,42,162,4,2560,34,12,68
4d966d81-6203-4a8e-8995-a7aa64dbcab3,electronics,33,757,5,474,16,26,41
2a4a7c16-202a-4409-9057-d3f720c6883f,furniture,56,310,1,4840,36,42,37
68ec3f34-235b-44ec-8f2d-446f389992e5,furniture,41,251,5,323,45,14,26
ed83b3a9-5d1a-4648-b158-ace2876af70d,office,36,278,1,511,26,5,55
f3e73fa7-f83e-4bd9-be96-dd46c1cb129a,furniture,57,431,1,1727,43,8,26
2b4e75b6-5026-40a7-b5fa-46275e9d9192,fashion,53,216,1,4201,67,28,75
c56ccc6d-ef52-4d66-b678-f82185c81192,office,26,562,5,2114,88,7,94
6c18716e-3cac-4098-884d-28d3d9d2b6ff,office,39,569,1,798,71,30,64
e3788610-35d5-4ee0-a7a8-01133c598591,electronics,51,554,1,961,51,43,28
49f59e4a-93d2-4516-b119-4b61251a576b,electronics,28,381,5,4792,51,29,86
8a7e08ff-0754-4c39-ac90-6c99519dec3d,office,38,564,5,3824,22,49,24
baf76dfa-25ea-4927-92d8-98ab28280b24,office,33,540,4,2171,62,26,68
aa839b4b-aee5-4fcc-9bbb-c7981ee802cb,fashion,46,197,3,3796,50,47,42
559a9c6d-5e6c-49fe-9a9d-f5286d663d5b,home_appliances,29,585,1,1047,20,10,65
07b9d930-b2f3-4d94-9adf-1eef78b4d543,electronics,43,233,5,791,85,40,81
95b6f794-5765-43ec-9dd0-b83a5736a2d6,home_appliances,27,520,3,3764,16,23,86
05cbafb0-0de9-46b9-abd8-2107dedbdd99,home_appliances,42,206,5,4456,37,14,94
4cd0e63e-90f4-4bd0-8709-2507caf7e3fa,fashion,34,210,3,4856,57,12,45
43e5228e-26cd-40e1-8841-b218b4c15618,office,34,539,5,4860,13,43,94
e340b241-ec2f-4d4a-80ba-e65ceea5f938,home_appliances,21,284,3,2831,53,27,10
c3288fb0-5fa8-4c7b-942a-327acbe4ba80,furniture,29,679,4,870,28,45,13
538d3edd-bc3b-4690-8867-798db4827a07,electronics,53,320,4,3739,68,26,30
df3585f0-90b2-47be-b0ba-56a56f0774a8,home_appliances,39,432,5,995,16,14,30
d47a2504-efcc-44ae-b827-592ebd41218d,office,23,790,1,2529,66,47,64
50c4cab4-a00b-4746-abfd-fc199d82c3a5,fashion,58,552,4,2537,37,37,24
9d1c7e20-8d6c-4554-add2-87dd3aa025fc,home_appliances,47,213,3,4286,77,47,49
4590f52b-f77b-40b3-bad5-b22cb0bf44fb,electronics,34,504,5,748,10,18,48
1735ab06-02c8-4d30-937c-27316b2062b9,furniture,28,361,3,2987,25,5,73
2a3c22ca-1869-4224-a4e7-3472ac593ac6,fashion,31,232,4,4662,100,19,74
310c8a40-eeb5-4155-a9a3-ce2dd6ff6355,office,42,173,4,646,65,6,68
dea8ef1e-a834-431e-98de-5704dc010caf,electronics,40,689,4,4997,61,50,91
43d27e38-d3f8-469d-8d3f-6cc774208e76,fashion,38,217,4,470,51,15,89
3e1d7b56-91ea-4eeb-9561-4d40223ea4ae,fashion,43,190,4,1167,41,32,85
66e73614-3941-48ee-a1ab-04feb0e4b427,fashion,53,180,4,2841,53,19,52
9de4c8fd-e664-4e7c-8c6d-9923c377faa2,furniture,24,622,1,4646,75,17,54
